Abbreviation,Name
ATL,Atlanta Hawks
BOS,Boston Celtics
BKN,Brooklyn Nets
CHA,Charlotte Hornets
CHI,Chicago Bulls
CLE,Cleveland Cavaliers
DAL,Dallas Mavericks
DEN,Denver Nuggets
DET,Detroit Pistons
GS,Golden State Warriors
HOU,Houston Rockets
IND,Indiana Pacers
LAC,Los Angeles Clippers
LAL,Los Angeles Lakers
MEM,Memphis Grizzlies
MIA,Miami Heat
MIL,Milwaukee Bucks
MIN,Minnesota Timberwolves
NO,New Orleans Pelicans
NY,New York Knicks
OKC,Oklahoma City Thunder
ORL,Orlando Magic
PHI,Philadelphia 76ers
PHX,Phoenix Suns
POR,Portland Trail Blazers
SAC,Sacramento Kings
SA,San Antonio Spurs
SEA,Seattle SuperSonics
TOR,Toronto Raptors
UTAH,Utah Jazz
WSH,Washington Wizards
NJ,New Jersey Nets